Link,Author Keywords,EID
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025725905&doi=10.1023%2fA%3a1022689900470&partnerID=40&md5=833756f6b464c3f7068e416e423e50e9","incremental learning; instance-based concept descriptions; learning theory; noise; similarity; Supervised concept learning",2-s2.0-0025725905
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000819688&doi=10.1016%2f0364-0213%2888%2990023-7&partnerID=40&md5=c940054435c1f8e217e5ad932af618b3",,2-s2.0-0000819688
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031276011&doi=10.1023%2fa%3a1007465528199&partnerID=40&md5=fc2314843318a55a209feba0b743dd35","Bayesian networks; Classification",2-s2.0-0031276011
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-37549018049&doi=10.1007%2fs10115-007-0114-2&partnerID=40&md5=89ff2ded32d6571e97ad050268ac21ce",,2-s2.0-37549018049
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036568025&doi=10.1023%2fA%3a1013689704352&partnerID=40&md5=99380722d33c4c660909c418825db644","Adaptive allocation rules; Bandit problems; Finite horizon regret",2-s2.0-0036568025
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025751820&doi=10.1016%2f0893-6080%2891%2990009-T&partnerID=40&md5=0ca2c27f7d951e66351b0727207fbbdf","Activation function; Input environment measure; Lp(μ) approximation; Multilayer feedforward networks; Smooth approximation; Sobolev spaces; Uniform approximation; Universal approximation capabilities",2-s2.0-0025751820
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846280533&doi=10.1109%2fCI-M.2006.248054&partnerID=40&md5=d3cc744b99f9da911ff4d1776cb75e40",,2-s2.0-33846280533
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041965980&doi=10.1162%2f153244303321897735&partnerID=40&md5=aff19df118cd642e1a444f3050875e75","Cluster analysis; Clustering; Consensus functions; Ensemble; Knowledge reuse; Multi-learner systems; Mutual information; Partitioning; Unsupervised learning",2-s2.0-0041965980
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871699277&doi=10.1109%2fICRA.2011.5980567&partnerID=40&md5=a7c9c57c5f04764ec2fedc7b37a7d8b9",,2-s2.0-84871699277
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028378716&doi=10.1007%2fBF01420984&partnerID=40&md5=24634311af23729c543b142978de83e0",,2-s2.0-0028378716
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248936100&doi=10.1016%2f0010-0285%2876%2990013-X&partnerID=40&md5=fa8669176f91b55ef4a295d289532a77",,2-s2.0-34248936100
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019397313&doi=10.1016%2f0031-3203%2881%2990009-1&partnerID=40&md5=98a796acc6186a200f8674e5f3d5ecfc","Hough transform; Image processing; Parallel algorithms; Pattern recognition; Shape recognition",2-s2.0-0019397313
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029368659&doi=10.1016%2f0004-3702%2894%2900041-X&partnerID=40&md5=9c16a3c0f0513d940c6c6c021012f196","Argumentation; Logic programming; n-person games; Nonmonotonic reasoning; The stable marriage problem",2-s2.0-0029368659
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149410841&doi=10.1207%2fs15516709cog0502_2&partnerID=40&md5=012cd6dc56ea04699549316fc58c2a7a",,2-s2.0-58149410841
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650134987&partnerID=40&md5=649613e4c1351694e19eec3a1a43c902",,2-s2.0-78650134987
